Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,283.019012,288.252014,280.173004,285.451996,284.430420,208000
2019-02-08,285.406006,288.618988,281.091003,287.885010,286.854736,169432
2019-02-11,290.914001,290.914001,285.773010,287.380005,286.351532,127331
2019-02-12,286.415985,289.445007,284.579987,285.957001,284.933624,99330
2019-02-14,284.579987,284.579987,272.507996,276.364014,275.374969,272258
2019-02-15,277.097992,280.540985,273.425995,279.393005,278.393127,189379
2019-02-18,280.173004,283.661987,275.583008,277.695007,276.701202,108143
2019-02-19,276.501007,287.516998,276.364014,279.300995,278.301453,288987
2019-02-20,279.989990,285.313995,279.989990,284.166992,283.150024,173856
2019-02-21,281.825989,285.497986,278.108002,284.763000,283.743896,201252
2019-02-22,284.304993,290.270996,282.790009,287.334015,286.305695,169831
2019-02-25,287.334015,293.667999,286.462006,291.970001,290.925110,164586
2019-02-26,291.924011,293.944000,276.317993,289.490997,288.454987,198980
2019-02-27,294.631989,298.350006,288.848999,293.713989,292.662842,224189
2019-02-28,297.570007,300.048004,290.134003,291.877991,290.833435,227727
2019-03-01,294.218994,294.218994,277.786987,281.872009,280.863251,1257528
2019-03-05,282.743988,284.121002,279.071991,282.790009,281.777954,1867084
2019-03-06,288.067993,288.067993,282.605988,283.983002,282.966675,309031
2019-03-07,284.121002,286.691010,282.514008,283.432007,282.417664,385478
2019-03-08,284.121002,286.737000,282.377014,283.432007,282.417664,342697
2019-03-11,283.661987,308.998993,282.743988,306.335999,305.239685,638606
2019-03-12,305.694000,324.971985,302.114014,322.033997,320.881500,1846414
2019-03-13,320.381989,327.174988,307.897003,309.687012,308.578705,728592
2019-03-14,310.696991,317.627991,307.484009,314.735992,313.609619,370038
2019-03-15,316.204987,316.204987,304.316986,309.365997,308.258850,435046
2019-03-18,309.411987,315.333008,302.342987,303.536987,302.450684,282831
2019-03-19,305.601990,311.201996,305.601990,309.045013,307.938995,265057
2019-03-20,309.045013,311.523010,304.868011,306.381989,305.285522,198315
2019-03-22,308.447998,318.729004,302.480988,303.996002,302.908081,452288
2019-03-25,304.821991,307.346008,296.972992,300.369995,299.295044,213705
2019-03-26,301.104004,303.950012,299.726990,301.287994,300.209747,249854
2019-03-27,302.940002,305.832001,294.723999,296.789001,295.726868,225379
2019-03-28,296.514008,305.832001,292.153015,303.352997,302.267365,191543
2019-04-01,304.776001,316.618011,304.776001,312.348999,311.231171,399117
2019-04-02,313.955994,330.480011,313.955994,328.230988,327.056335,702759
2019-04-03,327.174988,333.372009,319.325989,321.208008,320.058472,1375979
2019-04-04,324.053986,329.744995,323.687012,327.359009,326.187469,325235
2019-04-05,328.001007,330.020996,324.880005,327.359009,326.187469,138569
2019-04-08,330.388000,334.105988,323.182007,325.247009,324.083008,1161023
2019-04-09,329.195007,331.536011,313.588989,322.769012,321.613892,367915
2019-04-10,322.217987,325.292999,308.722992,312.165985,311.048798,179799
2019-04-11,313.037994,322.217987,309.640991,319.005005,317.863342,1957963
2019-04-12,317.627991,321.666992,311.294006,313.542999,312.420898,326118
2019-04-15,318.040985,319.923004,307.209015,318.959015,317.817535,368519
2019-04-16,318.545990,322.217987,312.670990,320.061005,318.915588,1401369
2019-04-18,322.171997,322.171997,305.694000,318.316010,317.176819,704998
2019-04-22,316.526001,328.597992,309.089996,321.161987,320.012604,683999
2019-04-23,325.100006,325.100006,314.549988,316.200012,315.068390,474459
2019-04-24,318.399994,326.250000,315.750000,324.500000,323.338684,297612
2019-04-25,322.000000,331.750000,321.250000,327.950012,326.776337,195639
2019-04-26,329.049988,335.549988,322.500000,324.600006,323.438324,214471
2019-04-30,324.000000,326.549988,314.250000,320.200012,319.054077,203047
2019-05-02,321.899994,329.399994,321.899994,324.700012,323.537994,219212
2019-05-03,324.700012,334.899994,324.399994,331.100006,329.915070,309213
2019-05-06,331.700012,336.000000,326.600006,333.399994,332.206818,472273
2019-05-07,340.000000,340.399994,321.000000,324.350006,323.189240,572480
2019-05-08,324.500000,327.049988,320.299988,323.750000,322.591370,153757
2019-05-09,322.500000,326.000000,312.950012,315.700012,314.570190,224329
2019-05-10,319.450012,328.100006,315.200012,324.149994,322.989929,358235
2019-05-13,321.000000,327.299988,314.049988,318.549988,317.409973,257987
2019-05-14,317.350006,339.500000,315.299988,335.750000,334.548431,467790
2019-05-15,335.750000,337.700012,328.549988,331.000000,329.815430,307427
2019-05-16,331.000000,333.149994,321.549988,325.450012,324.285309,152547
2019-05-17,324.350006,330.600006,322.200012,328.200012,327.025452,169046
2019-05-20,330.950012,341.549988,330.950012,339.850006,338.633759,279864
2019-05-21,340.850006,340.850006,328.799988,330.799988,329.616119,165030
2019-05-22,331.000000,337.649994,328.799988,335.049988,333.850922,220629
2019-05-23,337.149994,349.000000,334.350006,338.399994,337.188934,260700
2019-05-24,339.899994,356.000000,339.899994,353.299988,352.035614,311079
2019-05-27,347.600006,351.899994,346.500000,350.000000,348.747437,97340
2019-05-28,349.000000,351.149994,342.100006,345.649994,344.412994,191516
2019-05-29,344.399994,345.100006,337.850006,338.700012,337.487885,146441
2019-05-30,340.000000,349.950012,340.000000,346.600006,345.359589,257495
2019-05-31,349.000000,352.149994,344.850006,348.500000,347.252808,270004
2019-06-03,350.500000,355.649994,349.100006,353.049988,351.786499,206895
2019-06-04,352.000000,355.750000,350.049988,353.450012,352.185089,203470
2019-06-06,353.000000,356.000000,348.700012,353.799988,352.533813,237332
2019-06-07,352.950012,362.049988,352.000000,356.750000,355.473267,201799
2019-06-10,355.000000,364.000000,354.049988,362.450012,361.152893,134286
2019-06-11,361.850006,366.200012,358.049988,363.100006,361.800537,123648
2019-06-12,363.500000,363.500000,357.200012,359.799988,358.512329,86750
2019-06-13,360.000000,364.950012,356.500000,363.250000,361.950012,173013
2019-06-14,364.899994,364.899994,351.600006,353.299988,352.035614,186753
2019-06-17,355.549988,355.549988,342.100006,343.500000,342.270691,239867
2019-06-18,345.100006,347.549988,341.350006,345.649994,344.412994,96495
